"1", "Le narrateur", "l'auteur n'a jamais rencontré son père"
"1", "Le père de l'auteur", "disparu à la naissance de l'auteur"
"1", le psychiâtre de l'auteur", "permet de surprendre le père"
"1", "la mère de l'auteur", "le livre lui rend hommage"
"2", "la narratrice", "rêve de se libérer de l'emprise maternelle"
"3", "Le village du bouchon", "petit village isolé de l’île Maurice"
"3", "les fondateurs", "Les cinq fondateurs viennent d’une plantation lointaine"
"3", "Madame Dumontais", "une ancêtre des fondateurs, d'une puissante famille blanche" 
"3", "Le Vieux bouc", "un ancêtre, un esclave magnétique"
"4", "Le piano", "le fabuleux piano disparu de la famille Enoch"
"4", "La famille Enoch", "célèbres éditeurs de partitions, qui se transmettaient l’instrument de père en fils"
"5", "Une grande famille", "d'un immeuble au centre de Paris"
"6", "Olivier Grondeau", "voyageur épris de liberté"
"7", "Jean Deichel", "jeune professeur de français est aussi un un poète ivre d’aventure"
"8", "Antoinette Cosway", "créole de bonne famille"
"8", "Edward Rochester", "un Anglais aussi impénétrable que fascinant"
"9", "L'inconnue", "une jeune femme est retrouvée morte quai de Javel"
"9", "L'inspecteur-chef Ferrière", "n`a pas le talent de Maigret"
"9", "quatre suspects", "des suspects évidents, presque des archétypes"
"10", "Jacob Michael Lenz", "avocat et capitaine dans l'US Army"
"10", "La forêt de brême", "dont les mainades ont appris à chanter les hymnes nazis"
"11", "La narratrice", "raconte la fresque familiale de l'auteur pendant les années 50 aux prises avec ses démons : le patriarcat, la guerre, la colonisation, les injonctions à la réussite et au bonheur"
"12", "une jeune femme", "vie l'histoire d'une rupture"
"13", "Jonas Dorléon", "Le narrateur raconte le récit d'immigration de l'auteur"
"14", "Les disparitions", "Le personnage principal ce sont les disparitions mystérieuses"
"15", "La guerre", "La guerre à travers les âges"
"16", "Le procès", "C'est le personnage principal du livre"
"16", "Georges Bataille", "témoin"
"16", "Jean-Jacques Pauvert", "éditeur des oeuvres de Sade"



